Id,Label,Size,modularity_class
quantum statistics,quantum statistics,5,5
parametric inference,parametric inference,1,8
massive data,massive data,5,4
moment estimators,moment estimators,1,0
finite mixtures of normal distributions,finite mixtures of normal distributions,1,6
nonparametric transformation model,nonparametric transformation model,1,4
dimension asymptotics,dimension asymptotics,1,7
l-moment,l-moment,1,3
l-1 median,l-1 median,1,6
pseudo-marginal random,pseudo-marginal random,1,2
multiplicative algorithm,multiplicative algorithm,1,1
exact minimax asymptotics,exact minimax asymptotics,1,3
concentration asymptotics,concentration asymptotics,1,6
combining many p-values,combining many p-values,1,0
misspecified regression model,misspecified regression model,1,0
risk convergence,risk convergence,1,2
counterfactual,counterfactual,6,5
marginalization paradox,marginalization paradox,2,1
finite activity,finite activity,3,3
data compression,data compression,1,6
positive-definite matrix,positive-definite matrix,2,7
ondependent replications,ondependent replications,1,8
aids,aids,4,7
adaptive group lasso,adaptive group lasso,3,5
angular regression,angular regression,1,2
moment-generating functions,moment-generating functions,1,0
multiscale analysis,multiscale analysis,2,4
markov chains,markov chains,5,2
structural change,structural change,2,6
generalized gamma process,generalized gamma process,2,4
integrated autocorrelation time,integrated autocorrelation time,1,7
ordered categorical regression,ordered categorical regression,1,5
nonnegative tensor factorization,nonnegative tensor factorization,1,8
horvitz-thompson estimator,horvitz-thompson estimator,6,8
mixed graph,mixed graph,4,5
generalized linear model,generalized linear model,51,4
curvelets,curvelets,1,1
infinite-dimensional central,infinite-dimensional central,1,0
length principle,length principle,3,8
unbalanced one-way,unbalanced one-way,1,1
stochastic approximation,stochastic approximation,13,5
tetrad,tetrad,2,8
irt,irt,1,6
peskun order,peskun order,1,8
model-based inference,model-based inference,7,8
distance covariance,distance covariance,2,7
global dependence function,global dependence function,1,2
nonparametric bayesian inference,nonparametric bayesian inference,1,5
program evaluation,program evaluation,1,3
sampling plan,sampling plan,1,3
linear filtering,linear filtering,1,2
profile pseudo-partial likelihood,profile pseudo-partial likelihood,1,1
roughness regularization,roughness regularization,1,5
cell confluence,cell confluence,1,2
pseudo-observation method,pseudo-observation method,1,7
nonnested hypotheses,nonnested hypotheses,1,0
endogenous variable,endogenous variable,1,5
multi-level study,multi-level study,1,8
geostatistics,geostatistics,16,2
brain graph,brain graph,1,1
network clustering,network clustering,1,0
multi-stage procedure,multi-stage procedure,1,1
dirichlet distribution,dirichlet distribution,7,5
kolmogorov-smirnov,kolmogorov-smirnov,1,4
error bound,error bound,1,5
irregular spaced locations,irregular spaced locations,1,4
computer code,computer code,1,6
smoothness estimation,smoothness estimation,1,3
l-1 method,l-1 method,1,2
semiparametric estimator,semiparametric estimator,1,7
growth curves,growth curves,3,2
chen-stein method,chen-stein method,1,2
variance decomposition,variance decomposition,1,5
local significance index,local significance index,1,5
imputed estimator,imputed estimator,1,4
branching process models,branching process models,1,4
partial distance correlation,partial distance correlation,1,7
sparse representation,sparse representation,1,6
depth contour,depth contour,1,6
sparse,sparse,1,0
neighbor relations,neighbor relations,1,0
nuclear norm minimization,nuclear norm minimization,1,1
area under the curve regression,area under the curve regression,1,8
selection bounds,selection bounds,1,2
factor profiling,factor profiling,1,7
heckman-type selection model,heckman-type selection model,1,8
lisrel,lisrel,2,4
decomposition table,decomposition table,2,8
branching processes,branching processes,1,0
co-jumps,co-jumps,1,6
brownian process,brownian process,1,3
nonnull z-values,nonnull z-values,1,5
energy statistics,energy statistics,1,7
high-dimensional hypothesis test,high-dimensional hypothesis test,1,2
sliced average,sliced average,12,3
sampling weights,sampling weights,1,5
s-sample biased sampling,s-sample biased sampling,1,2
random series,random series,1,5
generalised regression estimation,generalised regression estimation,1,5
ranks,ranks,6,2
oracle,oracle,5,4
finding relevant variables,finding relevant variables,1,3
fiber process,fiber process,1,6
karush-kuhn-tucker conditions,karush-kuhn-tucker conditions,1,3
kernels,kernels,1,8
multivariate gamma,multivariate gamma,1,3
multivariate normal,multivariate normal,4,8
confidence regions,confidence regions,8,2
vector-valued function,vector-valued function,1,6
single-cell tracking,single-cell tracking,1,5
species,species,1,6
conditional bias,conditional bias,2,4
sandwich variance formula,sandwich variance formula,1,6
finite sample analysis,finite sample analysis,1,8
approximate maximum likelihood,approximate maximum likelihood,1,8
excess risk,excess risk,5,6
exploding likelihood,exploding likelihood,1,1
randomized quasi-monte carlo,randomized quasi-monte carlo,2,1
subgaussian tail,subgaussian tail,1,6
frequency domain analysis,frequency domain analysis,2,0
post-regularization inference,post-regularization inference,1,5
matrix completion from gaussian measurements,matrix completion from gaussian measurements,1,5
estimation efficiency,estimation efficiency,3,6
foldover technique,foldover technique,1,8
additive approximation,additive approximation,1,2
average process,average process,2,8
predictive bayes factors,predictive bayes factors,1,5
tests for eigenvectors,tests for eigenvectors,1,3
factor regression,factor regression,1,3
normal mixture models,normal mixture models,2,7
transitional density,transitional density,1,6
backprojection,backprojection,1,8
stereographic projection,stereographic projection,1,3
diagnostic test accuracy,diagnostic test accuracy,1,8
skewing mechanism,skewing mechanism,1,5
ecological momentary assessment,ecological momentary assessment,1,6
limiting cluster,limiting cluster,1,5
derivative matrix,derivative matrix,1,4
nondecomposable graphical,nondecomposable graphical,1,1
ridges,ridges,1,3
credible region,credible region,1,3
time data,time data,2,3
cox regression,cox regression,10,4
markov,markov,2,0
forest entomology,forest entomology,1,8
multiple trials,multiple trials,1,0
randomized play-the-winner rule,randomized play-the-winner rule,2,5
metric dimension,metric dimension,1,7
mixture likelihood,mixture likelihood,2,7
supreme court,supreme court,1,8
group selection,group selection,1,1
pseuclospline,pseuclospline,1,5
doubly adaptive biased coin design,doubly adaptive biased coin design,3,2
ethical allocation,ethical allocation,1,5
dirichlet mixture,dirichlet mixture,3,0
heteroscedastic contamination,heteroscedastic contamination,1,1
second-order approximation,second-order approximation,1,8
systematic sampling,systematic sampling,3,3
of allocation,of allocation,1,8
unknown pole,unknown pole,1,7
adaptive metropolis,adaptive metropolis,1,5
google trends,google trends,1,6
u-type design,u-type design,1,0
paired data,paired data,1,7
order statistics,order statistics,10,1
sparse solutions to underdetermined systems,sparse solutions to underdetermined systems,1,7
nonnegative rank,nonnegative rank,1,5
auxiliary information,auxiliary information,12,3
banach space,banach space,2,2
orthogonality of,orthogonality of,1,8
double-autoregressive model,double-autoregressive model,1,3
abc intervals,abc intervals,1,5
heritability,heritability,2,2
shannon's mutual information,shannon's mutual information,1,5
flag of subspaces,flag of subspaces,1,3
partial spectral coherency,partial spectral coherency,1,1
sparse high-dimensional,sparse high-dimensional,1,0
hierarchy,hierarchy,1,0
bayesian statistical,bayesian statistical,1,4
strong rule,strong rule,1,1
(m.s)-criterion,(m.s)-criterion,1,7
failure rate,failure rate,1,7
median filtering,median filtering,2,1
long-range alternatives,long-range alternatives,1,6
abundance,abundance,1,4
tree-based algorithms,tree-based algorithms,1,2
asympotic efficiency,asympotic efficiency,1,1
quadratic exponential family,quadratic exponential family,1,1
nondegeneracy,nondegeneracy,1,7
influence,influence,2,0
felspline,felspline,1,1
quantization,quantization,2,1
local empirical processes,local empirical processes,1,1
matrix analysis,matrix analysis,1,2
large-scale simultaneous inference,large-scale simultaneous inference,1,5
tumor heterogeneity,tumor heterogeneity,1,1
mixed spectrum,mixed spectrum,1,2
ordinary least-squares estimation,ordinary least-squares estimation,1,6
inverse transform,inverse transform,1,0
kullback-leibler divergence,kullback-leibler divergence,21,2
quasi-convex schatten,quasi-convex schatten,1,4
proportion of,proportion of,3,3
geography,geography,1,1
of health,of health,1,5
delay distribution,delay distribution,1,6
finite elements,finite elements,2,0
disability model,disability model,1,0
ergodicity,ergodicity,2,7
backfitting algorithm,backfitting algorithm,3,7
locally most,locally most,1,3
distribution equivalence class,distribution equivalence class,1,6
approximate bootstrap,approximate bootstrap,1,6
comparative genomic hybridization,comparative genomic hybridization,1,3
dasso,dasso,2,7
on-line inference,on-line inference,1,8
regularization methods,regularization methods,2,6
p-value weighting,p-value weighting,2,7
retrospective studies,retrospective studies,1,1
le cam equivalence,le cam equivalence,2,0
zonoid,zonoid,1,0
injection drug use,injection drug use,1,7
reweighted expansion estimator,reweighted expansion estimator,1,5
reimputation,reimputation,1,1
passive transportation,passive transportation,1,2
anisotropic regression,anisotropic regression,1,8
cramer moderate deviation,cramer moderate deviation,1,4
index space,index space,1,8
combination estimator,combination estimator,1,8
random hazard rate,random hazard rate,1,0
wigner function,wigner function,3,3
same-realization prediction,same-realization prediction,1,8
clinical scores,clinical scores,1,8
profile estimation,profile estimation,1,1
computer models,computer models,2,5
block models,block models,1,3
dynamical methods,dynamical methods,1,1
exact counting,exact counting,1,6
lack-of-fit tests,lack-of-fit tests,1,5
complex surveys,complex surveys,1,7
oracle approach,oracle approach,1,1
rank estimating equation,rank estimating equation,1,6
pairwise comparison,pairwise comparison,1,6
penalized generalized functional eigenvalue problem,penalized generalized functional eigenvalue problem,1,1
multiplicative effects,multiplicative effects,3,1
empirical likelihood ratio,empirical likelihood ratio,1,8
minimum aberration criterion,minimum aberration criterion,1,7
quantile autoregression,quantile autoregression,1,7
survival probability,survival probability,2,5
spatial adaption,spatial adaption,1,1
robust segment identifier,robust segment identifier,1,4
weighted kaplan-meier estimator,weighted kaplan-meier estimator,1,1
confidence set,confidence set,5,4
asymptotic behaviour,asymptotic behaviour,1,0
event history,event history,1,8
rate control,rate control,1,6
asymptotic bias correction,asymptotic bias correction,1,2
least squares estimation,least squares estimation,7,7
space-time modelling,space-time modelling,1,4
rank-one projection,rank-one projection,1,4
replicated measurements,replicated measurements,1,6
adaptive banding,adaptive banding,1,8
skorokhod topology,skorokhod topology,2,3
change-point estimation,change-point estimation,4,4
attributable effects,attributable effects,1,5
criterion (bic),criterion (bic),1,6
vector optimization,vector optimization,1,5
switching cost,switching cost,1,4
lattice sequence,lattice sequence,1,6
lattice square,lattice square,1,8
matching prior,matching prior,1,3
sampling algorithm,sampling algorithm,1,5
maximum likelihood estimation,maximum likelihood estimation,47,7
randomized quasi-monte-carlo sampling,randomized quasi-monte-carlo sampling,1,6
prediction model,prediction model,1,2
kriging (frk),kriging (frk),1,0
coefficient of,coefficient of,2,0
equivalent models,equivalent models,1,8
pseudo-marginal markov chain monte carlo,pseudo-marginal markov chain monte carlo,2,8
hierarchical testing,hierarchical testing,3,2
data splitting,data splitting,3,5
linear estimator,linear estimator,1,5
direct effects,direct effects,2,3
nonstationary time series,nonstationary time series,8,4
isometric feature mapping,isometric feature mapping,1,8
asymmetric test,asymmetric test,1,6
simultaneous confidence interval,simultaneous confidence interval,2,5
root test,root test,1,0
tail behavior,tail behavior,2,6
basis functions,basis functions,2,4
ordered modulus,ordered modulus,1,1
anisotropy,anisotropy,6,7
complete-case analysis,complete-case analysis,2,0
interval estimates,interval estimates,1,8
stick-breaking priors,stick-breaking priors,1,6
two-stage sampling,two-stage sampling,2,4
cox regressions,cox regressions,1,2
null hypothesis,null hypothesis,5,6
generalized word,generalized word,1,5
nonparametric quantile regression,nonparametric quantile regression,1,4
correlation matrix,correlation matrix,9,1
preference trial,preference trial,2,4
state-space,state-space,1,2
multi-label classification,multi-label classification,1,6
covariance structure,covariance structure,4,7
core length,core length,1,6
regularized estimation,regularized estimation,3,3
cross validation,cross validation,2,2
semi parametric model,semi parametric model,1,7
i-projection,i-projection,2,2
eurodollar futures,eurodollar futures,1,1
holiday effects,holiday effects,1,2
additive structure,additive structure,1,5
contrast estimators,contrast estimators,1,6
quantum transformation model,quantum transformation model,1,4
shorth,shorth,1,1
carryover effect,carryover effect,4,4
negative predictive value,negative predictive value,2,0
linear system,linear system,1,7
short-run processes,short-run processes,1,1
ppp values,ppp values,1,5
state-space form,state-space form,1,1
gee,gee,2,2
mismeasured covariates,mismeasured covariates,2,0
sobolev ellipsoid,sobolev ellipsoid,1,6
naive bayes,naive bayes,1,4
weighted estimating equation,weighted estimating equation,7,1
generation intervals,generation intervals,1,7
long-term survivors,long-term survivors,1,5
kaplan meier estimator,kaplan meier estimator,2,2
dirichlet density,dirichlet density,1,8
detection boundary,detection boundary,10,3
statistics with distribution-free mean coverage,statistics with distribution-free mean coverage,1,5
systematic samples,systematic samples,1,7
van der,van der,1,4
misspecified generalized linear mixed model,misspecified generalized linear mixed model,1,4
joint bahadur representation,joint bahadur representation,1,6
earthquakes,earthquakes,1,0
line integral,line integral,1,8
r-estimates,r-estimates,1,4
high dimensional regression,high dimensional regression,1,3
fish species discrimination,fish species discrimination,1,0
calibration of,calibration of,1,5
admissible domain,admissible domain,1,8
nonparametric regression,nonparametric regression,162,4
high frequency data,high frequency data,5,5
physical randomization,physical randomization,1,5
weighting smoothing,weighting smoothing,1,0
finitely additive probability,finitely additive probability,1,5
estimation after,estimation after,1,2
linear logistic regression,linear logistic regression,1,4
mouth disease,mouth disease,1,3
pseudovalues,pseudovalues,2,8
tsallis entropy,tsallis entropy,2,3
lack-of-fit test,lack-of-fit test,1,5
of propensity,of propensity,1,0
sparsity constraint,sparsity constraint,1,2
quadratic functional,quadratic functional,2,1
free disposal,free disposal,1,2
integer counts,integer counts,1,6
optimality criteria,optimality criteria,1,7
penalized nonlinear,penalized nonlinear,1,8
optimal prediction,optimal prediction,1,0
imaging phenotype,imaging phenotype,1,1
autoregressive conditional heteroscedasticity,autoregressive conditional heteroscedasticity,1,4
sample mean,sample mean,4,6
partial likelihood inference,partial likelihood inference,1,8
normal scale mixtures,normal scale mixtures,1,0
life table,life table,1,6
graph connection laplacian,graph connection laplacian,1,8
biological pathways,biological pathways,1,6
high-dimensional covariance matrix,high-dimensional covariance matrix,1,7
census data,census data,1,2
lark,lark,1,1
malliavin calculus,malliavin calculus,1,0
banding estimator,banding estimator,1,3
bootstrap m out of n,bootstrap m out of n,1,2
pairwise fitting,pairwise fitting,1,0
outcome dependent,outcome dependent,1,3
convex loss,convex loss,2,1
diagnostic test,diagnostic test,4,4
edge matrix,edge matrix,1,6
semiparametric approximation,semiparametric approximation,1,6
block updates,block updates,1,0
imaging,imaging,1,7
mixed model,mixed model,36,6
risk theory,risk theory,1,3
integer-valued garch,integer-valued garch,1,2
expansive replacement method,expansive replacement method,1,3
diagnostic tests,diagnostic tests,1,6
ultrahigh dimensions,ultrahigh dimensions,1,5
rare and weak signal model,rare and weak signal model,1,2
linear programming,linear programming,10,5
are illustrated,are illustrated,1,6
design optimality,design optimality,3,7
results program,results program,1,4
wishart matrices,wishart matrices,2,8
fexp priors,fexp priors,1,4
multivariate calibration,multivariate calibration,1,2
double simulation,double simulation,1,0
imprinting,imprinting,1,2
f-like statistic,f-like statistic,1,4
errors-in-variable,errors-in-variable,2,3
convex,convex,3,6
recurrent events analysis,recurrent events analysis,1,0
crossover designs,crossover designs,3,1
multilinear restrictions,multilinear restrictions,1,6
scrambled net,scrambled net,1,0
one-way random effect,one-way random effect,1,8
nonparametric curve estimation,nonparametric curve estimation,10,4
effective dimension,effective dimension,1,4
and event,and event,1,4
intent-to-treat,intent-to-treat,1,8
deviation suboptimality,deviation suboptimality,1,0
completely random measure,completely random measure,2,4
global problem,global problem,1,2
q-estimator,q-estimator,1,5
unit-root problem,unit-root problem,1,6
newey-west estimator,newey-west estimator,1,2
general accuracy formula,general accuracy formula,1,4
intraday electricity load,intraday electricity load,1,4
semi-nonparametric models,semi-nonparametric models,1,6
bayesian classification,bayesian classification,1,1
hierarchical gaussian prior,hierarchical gaussian prior,1,5
locally stationary model,locally stationary model,1,2
ising models,ising models,2,4
small area,small area,1,1
warping,warping,3,8
bias-variance trade-off,bias-variance trade-off,1,3
financial modeling,financial modeling,1,2
constrained m-estimates,constrained m-estimates,1,5
dkw inequality,dkw inequality,1,5
planted clique,planted clique,4,6
missingness mechanism,missingness mechanism,3,6
beta process,beta process,2,5
phylogeny,phylogeny,4,1
o-learning,o-learning,1,2
location-scale model,location-scale model,3,2
generalized design-based inference,generalized design-based inference,1,3
optimal decision,optimal decision,1,7
tail exponent,tail exponent,1,8
variable selection consistency,variable selection consistency,2,1
combined wordlength pattern,combined wordlength pattern,1,4
estimated weights,estimated weights,1,4
fixed-point algorithm,fixed-point algorithm,1,5
interaction pursuit,interaction pursuit,1,1
t-optimum design,t-optimum design,1,3
meta analysis,meta analysis,1,1
subgroup identification,subgroup identification,1,8
group randomization,group randomization,2,1
borrow-strength method,borrow-strength method,1,2
strong approximation,strong approximation,5,0
laguerre ensemble,laguerre ensemble,1,8
dynamic structure,dynamic structure,1,6
graphoid,graphoid,1,1
panel count data,panel count data,4,0
non-parametric likelihood,non-parametric likelihood,2,2
mixture prior,mixture prior,4,8
contingency table,contingency table,16,2
urban traffic volumes,urban traffic volumes,1,5
interaction effects,interaction effects,1,2
nonquadratic penality functions,nonquadratic penality functions,1,8
rare variant,rare variant,1,7
price curve,price curve,1,6
pivot,pivot,2,8
volterra integral equation,volterra integral equation,1,4
nonlinear chebyshev approximation,nonlinear chebyshev approximation,1,4
quadratic score test,quadratic score test,1,3
semiparametric logistic regression,semiparametric logistic regression,2,6
compound estimation,compound estimation,1,4
treatment comparison,treatment comparison,1,6
rosenblatt process,rosenblatt process,1,5
l-2-distance tests,l-2-distance tests,1,1
power of a sensitivity analysis,power of a sensitivity analysis,2,6
biased data,biased data,2,6
omnibus alternative,omnibus alternative,1,7
generalized estimating,generalized estimating,2,4
unmeasured confounding,unmeasured confounding,1,4
distance correlation,distance correlation,5,6
rate-independence,rate-independence,1,4
group sparsity,group sparsity,3,2
dependence ordering,dependence ordering,1,7
normal means model,normal means model,1,5
finite population sampling,finite population sampling,1,5
design effect,design effect,3,8
generalized hypergeometric,generalized hypergeometric,1,4
specification tests,specification tests,1,3
official statistics,official statistics,1,2
strong mixing,strong mixing,5,8
multiple testing dependence,multiple testing dependence,1,2
truncated distribution,truncated distribution,1,8
hodges estimator,hodges estimator,1,4
arma-garch/igarch model,arma-garch/igarch model,1,0
fast algorithm,fast algorithm,1,8
expected delay,expected delay,1,0
randomly censored data,randomly censored data,1,4
genetic marker,genetic marker,1,5
prior sensitivity,prior sensitivity,1,8
intrinsic random functions,intrinsic random functions,1,0
log-spectrum estimation,log-spectrum estimation,1,2
model selections,model selections,1,0
mcp penalty,mcp penalty,1,7
ordering,ordering,1,1
two-index asymptotics,two-index asymptotics,2,2
quadratically constrained,quadratically constrained,1,7
online analysis,online analysis,1,6
lasso,lasso,124,8
regulatory impact assessment,regulatory impact assessment,1,1
continuous semi-martingale,continuous semi-martingale,1,6
monotone instrumental variable,monotone instrumental variable,1,5
reinforcement learning,reinforcement learning,3,1
jump detection,jump detection,2,7
negative association,negative association,1,6
decomposable model,decomposable model,3,7
analysis of variance,analysis of variance,11,2
marginal likelihood,marginal likelihood,17,4
godambe information,godambe information,2,8
random-weighting approach,random-weighting approach,1,8
surface area measure,surface area measure,1,0
neuroimaging data,neuroimaging data,1,8
linear inequalities,linear inequalities,1,7
nonidentical distribution,nonidentical distribution,1,4
pag,pag,1,1
model assessment,model assessment,1,3
shot noise process,shot noise process,1,5
bayesian smoothing,bayesian smoothing,1,3
monotonocity,monotonocity,1,2
nearest neighbor smoothing,nearest neighbor smoothing,1,3
asymptotic power,asymptotic power,4,8
optimal temporal sampling,optimal temporal sampling,1,4
turing's formula,turing's formula,1,1
aic and,aic and,1,6
successful detection,successful detection,1,7
diffusion tenser,diffusion tenser,1,3
multivariate bernoulli distribution,multivariate bernoulli distribution,1,0
conic programming,conic programming,3,2
polytope probabilities,polytope probabilities,1,2
bootstrap empirical likelihood,bootstrap empirical likelihood,1,1
exon tiling array,exon tiling array,1,0
local cross-validation,local cross-validation,2,0
weighted log-rank statistic,weighted log-rank statistic,2,6
correlation-based variable screening,correlation-based variable screening,1,1
arcsine distribution,arcsine distribution,1,5
toric ideal,toric ideal,1,0
high-dimensional anova,high-dimensional anova,1,7
criterion for surrogate end points,criterion for surrogate end points,1,0
multivariate ranks,multivariate ranks,5,7
prior elicitation,prior elicitation,5,8
computational statistics,computational statistics,1,2
complex evidence synthesis,complex evidence synthesis,1,1
asymptotic risk,asymptotic risk,2,0
mixing convergence,mixing convergence,1,6
choquet representation,choquet representation,1,5
reduction of dimension,reduction of dimension,1,8
attributable risk,attributable risk,4,2
multiple t-tests,multiple t-tests,1,4
likelihood ratio test,likelihood ratio test,39,7
observations-driven longitudinal autocorrelation,observations-driven longitudinal autocorrelation,1,3
synchronous bootstrap,synchronous bootstrap,1,4
crossover design,crossover design,4,8
quasi-likelihood ratio test,quasi-likelihood ratio test,1,4
experimental demography,experimental demography,1,4
mammography,mammography,2,8
function regression,function regression,1,1
attrition audit,attrition audit,1,3
functional logistic regression,functional logistic regression,1,2
neighborhood choice,neighborhood choice,1,8
universal threshold,universal threshold,1,0
jacobian calculation,jacobian calculation,1,0
locally stationary models,locally stationary models,1,8
multiple smoothing parameters,multiple smoothing parameters,1,2
regression spline,regression spline,8,7
nonparametric analysis,nonparametric analysis,2,1
james stein estimator,james stein estimator,1,1
normalized generalized,normalized generalized,1,3
global p-value,global p-value,1,2
testing submatrices,testing submatrices,1,7
locally adaptive,locally adaptive,1,3
time-varying variance,time-varying variance,2,2
multivariate phenotypes,multivariate phenotypes,1,1
maximum exposure bound,maximum exposure bound,1,8
icc,icc,1,0
stimuli,stimuli,1,7
berman's diagnostic,berman's diagnostic,1,3
trigonometric matrix,trigonometric matrix,1,7
fret,fret,1,0
treatment effects,treatment effects,10,1
majorization,majorization,3,7
relative entropy loss,relative entropy loss,1,5
mm-estimators,mm-estimators,2,4
covariance stationary,covariance stationary,1,2
process mixture,process mixture,1,4
hierarchical network analysis,hierarchical network analysis,1,3
nonlinear spectral analysis,nonlinear spectral analysis,1,8
martingale operators,martingale operators,1,8
length-bias,length-bias,1,4
sequential imputation,sequential imputation,1,3
plackett-burman designs,plackett-burman designs,1,1
robbins-monro and,robbins-monro and,1,4
regular,regular,1,3
spiked population model,spiked population model,2,4
functional differentiability,functional differentiability,1,8
conjugate priors,conjugate priors,6,6
cox process,cox process,4,2
skew-t distribution,skew-t distribution,1,0
individualized prediction,individualized prediction,1,7
shrinkage prior,shrinkage prior,6,2
connectivity,connectivity,3,2
kullback-leibler property,kullback-leibler property,1,1
(strong) faithfulness,(strong) faithfulness,1,5
quasi-bayesian inference,quasi-bayesian inference,1,7
affine-invariance,affine-invariance,1,2
combination of p-values,combination of p-values,1,4
graph theory,graph theory,1,7
locally self-similar,locally self-similar,1,2
optimal designs,optimal designs,2,0
spatio-temporal models,spatio-temporal models,1,4
tchebycheff system,tchebycheff system,2,5
conditional tests,conditional tests,1,1
spectral decomposition,spectral decomposition,4,5
sparse matrices,sparse matrices,2,7
continuous-time mrakov chain,continuous-time mrakov chain,1,7
prediction standard error,prediction standard error,1,8
filtering algorithm,filtering algorithm,1,2
generalized friedman's urn,generalized friedman's urn,1,2
declustering,declustering,2,2
empirical bayes model,empirical bayes model,1,5
dp prior,dp prior,1,7
spectral moment conditions,spectral moment conditions,1,2
conditional pickands,conditional pickands,1,5
spike-and-slab lasso,spike-and-slab lasso,1,3
embedding missing data,embedding missing data,1,7
boundary effect,boundary effect,3,0
demmler-reinsch basis,demmler-reinsch basis,1,4
family model,family model,1,2
importance link function,importance link function,1,7
mixture of normals,mixture of normals,2,4
e-criterion,e-criterion,1,4
linear opinion pool,linear opinion pool,1,5
maximum tolerated dose,maximum tolerated dose,2,3
intraday volatility,intraday volatility,1,8
risk misclassification,risk misclassification,1,0
bayes estimator,bayes estimator,1,1
newton-raphson algorithm,newton-raphson algorithm,3,7
projection,projection,13,4
ordinal outcome,ordinal outcome,3,3
external validation study,external validation study,1,8
principal strata,principal strata,1,8
pattern-mixture models,pattern-mixture models,1,8
joint quantile model,joint quantile model,1,4
bivariate recurrent event,bivariate recurrent event,1,8
rare variants,rare variants,1,1
structural estimation,structural estimation,1,0
nonidentifiability,nonidentifiability,1,6
screening designs,screening designs,1,6
binomial mixture,binomial mixture,1,6
adaptive test,adaptive test,5,2
unbiased estimating equation,unbiased estimating equation,2,4
extreme value type i distribution,extreme value type i distribution,1,3
geometry,geometry,4,8
multivariate statistical,multivariate statistical,1,7
of covariates,of covariates,1,2
order selection,order selection,9,3
point processes,point processes,7,3
concentration matrix,concentration matrix,2,6
berk-jones,berk-jones,1,2
conditional autoregression,conditional autoregression,1,8
sliced inverse,sliced inverse,1,3
continuous model expansion,continuous model expansion,1,0
sparse approximate inference,sparse approximate inference,1,8
high-dimensional regression,high-dimensional regression,10,6
optimal bandwidth,optimal bandwidth,3,1
orthogonally invariant,orthogonally invariant,1,0
matrix-argument hypergeometric function,matrix-argument hypergeometric function,1,0
fully bayes method,fully bayes method,1,0
binomial modelling,binomial modelling,2,6
exact simulation,exact simulation,5,0
unequal-probability sampling,unequal-probability sampling,1,6
varying covariate effects,varying covariate effects,3,1
hierarchical models,hierarchical models,17,0
semicompeting risks data,semicompeting risks data,1,1
asthma,asthma,1,2
directed graphs,directed graphs,1,4
high-dimensional case,high-dimensional case,1,2
lehmann treatment effect,lehmann treatment effect,1,7
slex library,slex library,1,0
baseline parameterization,baseline parameterization,1,0
