Source,Target,Weight
asymptotic relative efficiency,bahadur representation,1
asymptotic relative efficiency,dd-plot,1
asymptotic relative efficiency,donsker property,1
asymptotic relative efficiency,gateaux derivative,1
asymptotic relative efficiency,glivenko-cantelli property,1
asymptotic relative efficiency,karhunen-loeve expansion,1
asymptotic relative efficiency,smooth banach space,1
bahadur representation,dd-plot,1
bahadur representation,donsker property,1
bahadur representation,gateaux derivative,1
bahadur representation,glivenko-cantelli property,1
bahadur representation,karhunen-loeve expansion,1
bahadur representation,smooth banach space,1
dd-plot,donsker property,1
dd-plot,gateaux derivative,1
dd-plot,glivenko-cantelli property,1
dd-plot,karhunen-loeve expansion,1
dd-plot,smooth banach space,1
donsker property,gateaux derivative,1
donsker property,glivenko-cantelli property,1
donsker property,karhunen-loeve expansion,1
donsker property,smooth banach space,1
gateaux derivative,glivenko-cantelli property,1
gateaux derivative,karhunen-loeve expansion,1
gateaux derivative,smooth banach space,1
glivenko-cantelli property,karhunen-loeve expansion,1
glivenko-cantelli property,smooth banach space,1
karhunen-loeve expansion,smooth banach space,1
lasso,least angle regression,5
lasso,p-value,3
lasso,significance test,1
least angle regression,p-value,2
least angle regression,significance test,1
p-value,significance test,2
high-dimensional linear model,multiple hypotheses testing,1
high-dimensional linear model,semiparametric efficiency,1
high-dimensional linear model,sparsity,1
multiple hypotheses testing,semiparametric efficiency,1
multiple hypotheses testing,sparsity,1
covariance estimation,graphical model selection,2
graphical model selection,inverse covariance estimation,1
graphical lasso,graphical model selection,2
graphical model selection,matrix variate,1
graphical model selection,normal distribution,1
covariance estimation,inverse covariance estimation,1
covariance estimation,graphical lasso,1
covariance estimation,matrix variate,2
covariance estimation,normal distribution,2
graphical lasso,inverse covariance estimation,1
inverse covariance estimation,matrix variate,1
inverse covariance estimation,normal distribution,1
graphical lasso,matrix variate,1
graphical lasso,normal distribution,1
matrix variate,normal distribution,2
covariance operator,dimension reduction,1
covariance operator,functional data analysis,2
covariance operator,local polynomial smoothing,1
covariance operator,regularization,2
covariance operator,sparse data,1
dimension reduction,functional data analysis,8
dimension reduction,local polynomial smoothing,1
dimension reduction,regularization,1
dimension reduction,sparse data,1
functional data analysis,local polynomial smoothing,1
functional data analysis,regularization,5
functional data analysis,sparse data,3
local polynomial smoothing,regularization,1
local polynomial smoothing,sparse data,1
regularization,sparse data,1
additive model,group selection,1
additive model,model selection,1
additive model,oracle property,1
additive model,partial linear models,1
additive model,polynomial splines,1
additive model,quadratic inference function,1
additive model,scad,1
additive model,selection consistency,1
group selection,model selection,1
group selection,oracle property,1
group selection,partial linear models,1
group selection,polynomial splines,1
group selection,quadratic inference function,1
group selection,scad,1
group selection,selection consistency,1
model selection,oracle property,6
model selection,partial linear models,1
model selection,polynomial splines,1
model selection,quadratic inference function,3
model selection,scad,3
model selection,selection consistency,4
oracle property,partial linear models,1
oracle property,polynomial splines,3
oracle property,quadratic inference function,3
oracle property,scad,4
oracle property,selection consistency,3
partial linear models,polynomial splines,1
partial linear models,quadratic inference function,1
partial linear models,scad,1
partial linear models,selection consistency,1
polynomial splines,quadratic inference function,1
polynomial splines,scad,1
polynomial splines,selection consistency,1
quadratic inference function,scad,2
quadratic inference function,selection consistency,1
scad,selection consistency,1
grenander estimator,monotone density,2
grenander estimator,misspecification,1
grenander estimator,linear functional,1
grenander estimator,nonparametric maximum likelihood,1
misspecification,monotone density,1
linear functional,monotone density,1
monotone density,nonparametric maximum likelihood,1
linear functional,misspecification,1
misspecification,nonparametric maximum likelihood,2
linear functional,nonparametric maximum likelihood,1
ar(p),bandwidth,1
ar(p),error,1
ar(p),kernel,1
ar(p),oracle efficiency,1
ar(p),residual,1
bandwidth,error,1
bandwidth,kernel,3
bandwidth,oracle efficiency,1
bandwidth,residual,1
error,kernel,1
error,oracle efficiency,1
error,residual,1
kernel,oracle efficiency,1
kernel,residual,1
oracle efficiency,residual,1
spectral clustering,subspace clustering,2
lasso,subspace clustering,1
dantzig selector,subspace clustering,1
l(1) minimization,subspace clustering,2
multiple hypothesis testing,subspace clustering,1
subspace clustering,true and,1
false discoveries,subspace clustering,1
geometric functional analysis,subspace clustering,2
nonasymptotic random,subspace clustering,1
matrix theory,subspace clustering,1
lasso,spectral clustering,1
dantzig selector,spectral clustering,1
l(1) minimization,spectral clustering,2
multiple hypothesis testing,spectral clustering,1
spectral clustering,true and,1
false discoveries,spectral clustering,1
geometric functional analysis,spectral clustering,2
nonasymptotic random,spectral clustering,1
matrix theory,spectral clustering,1
dantzig selector,lasso,6
l(1) minimization,lasso,1
lasso,multiple hypothesis testing,1
lasso,true and,1
false discoveries,lasso,1
geometric functional analysis,lasso,1
lasso,nonasymptotic random,1
lasso,matrix theory,1
dantzig selector,l(1) minimization,1
dantzig selector,multiple hypothesis testing,1
dantzig selector,true and,1
dantzig selector,false discoveries,1
dantzig selector,geometric functional analysis,1
dantzig selector,nonasymptotic random,1
dantzig selector,matrix theory,1
l(1) minimization,multiple hypothesis testing,1
l(1) minimization,true and,1
false discoveries,l(1) minimization,1
geometric functional analysis,l(1) minimization,2
l(1) minimization,nonasymptotic random,1
l(1) minimization,matrix theory,1
multiple hypothesis testing,true and,1
false discoveries,multiple hypothesis testing,1
geometric functional analysis,multiple hypothesis testing,1
multiple hypothesis testing,nonasymptotic random,1
matrix theory,multiple hypothesis testing,1
false discoveries,true and,1
geometric functional analysis,true and,1
nonasymptotic random,true and,1
matrix theory,true and,1
false discoveries,geometric functional analysis,1
false discoveries,nonasymptotic random,1
false discoveries,matrix theory,1
geometric functional analysis,nonasymptotic random,1
geometric functional analysis,matrix theory,1
matrix theory,nonasymptotic random,1
aic/bic,local linear modeling,1
aic/bic,profile likelihood,1
aic/bic,spatial interaction,1
local linear modeling,profile likelihood,1
local linear modeling,spatial interaction,1
profile likelihood,spatial interaction,1
coherence,proper scoring rule,1
conglomerable probability,proper scoring rule,1
dominance,proper scoring rule,1
finitely additive probability,proper scoring rule,1
proper scoring rule,sure-loss,1
coherence,conglomerable probability,1
coherence,dominance,1
coherence,finitely additive probability,1
coherence,sure-loss,1
conglomerable probability,dominance,1
conglomerable probability,finitely additive probability,1
conglomerable probability,sure-loss,1
dominance,finitely additive probability,1
dominance,sure-loss,1
finitely additive probability,sure-loss,1
pivotal,square-root lasso,1
model selection,pivotal,2
non-gaussian heteroscedastic,pivotal,1
generic semiparametric problem,pivotal,1
nonlinear instrumental variable,pivotal,1
pivotal,z-estimation problem,1
pivotal,root n-consistency,1
and asymptotic,pivotal,1
normality after,pivotal,1
model selection,square-root lasso,2
non-gaussian heteroscedastic,square-root lasso,1
generic semiparametric problem,square-root lasso,1
nonlinear instrumental variable,square-root lasso,1
square-root lasso,z-estimation problem,1
root n-consistency,square-root lasso,1
and asymptotic,square-root lasso,1
normality after,square-root lasso,1
model selection,non-gaussian heteroscedastic,2
generic semiparametric problem,model selection,2
model selection,nonlinear instrumental variable,2
model selection,z-estimation problem,2
model selection,root n-consistency,2
and asymptotic,model selection,2
model selection,normality after,2
model selection,model selection,2
generic semiparametric problem,non-gaussian heteroscedastic,1
non-gaussian heteroscedastic,nonlinear instrumental variable,1
non-gaussian heteroscedastic,z-estimation problem,1
non-gaussian heteroscedastic,root n-consistency,1
and asymptotic,non-gaussian heteroscedastic,1
non-gaussian heteroscedastic,normality after,1
generic semiparametric problem,nonlinear instrumental variable,1
generic semiparametric problem,z-estimation problem,1
generic semiparametric problem,root n-consistency,1
and asymptotic,generic semiparametric problem,1
generic semiparametric problem,normality after,1
nonlinear instrumental variable,z-estimation problem,1
nonlinear instrumental variable,root n-consistency,1
and asymptotic,nonlinear instrumental variable,1
nonlinear instrumental variable,normality after,1
root n-consistency,z-estimation problem,1
and asymptotic,z-estimation problem,1
normality after,z-estimation problem,1
and asymptotic,root n-consistency,1
normality after,root n-consistency,1
and asymptotic,normality after,1
bayes factor,hierarchical model,1
bayes factor,high dimensional data,1
bayes factor,shrinkage,1
bayes factor,variable selection,3
hierarchical model,high dimensional data,1
hierarchical model,shrinkage,2
hierarchical model,variable selection,1
high dimensional data,shrinkage,1
high dimensional data,variable selection,3
shrinkage,variable selection,4
adaptive estimation,lower bounds,1
adaptive estimation,minimax rate,3
adaptive estimation,nonparametric regression,9
adaptive estimation,oracle inequalities,5
adaptive estimation,single-index model,1
adaptive estimation,structural adaptation,1
lower bounds,minimax rate,1
lower bounds,nonparametric regression,2
lower bounds,oracle inequalities,2
lower bounds,single-index model,1
lower bounds,structural adaptation,1
minimax rate,nonparametric regression,2
minimax rate,oracle inequalities,2
minimax rate,single-index model,1
minimax rate,structural adaptation,1
nonparametric regression,oracle inequalities,1
nonparametric regression,single-index model,1
nonparametric regression,structural adaptation,1
oracle inequalities,single-index model,1
oracle inequalities,structural adaptation,1
single-index model,structural adaptation,1
bipartite graph,network clustering,1
bipartite graph,oracle inequality,1
bipartite graph,profile likelihood,1
bipartite graph,statistical network analysis,2
bipartite graph,stochastic blockmodel,2
and co-blockmodel,bipartite graph,1
network clustering,oracle inequality,1
network clustering,profile likelihood,1
network clustering,statistical network analysis,1
network clustering,stochastic blockmodel,1
and co-blockmodel,network clustering,1
oracle inequality,profile likelihood,1
oracle inequality,statistical network analysis,1
oracle inequality,stochastic blockmodel,1
and co-blockmodel,oracle inequality,1
profile likelihood,statistical network analysis,1
profile likelihood,stochastic blockmodel,1
and co-blockmodel,profile likelihood,1
statistical network analysis,stochastic blockmodel,2
and co-blockmodel,statistical network analysis,1
and co-blockmodel,stochastic blockmodel,1
bayesian estimation,cepstrum,1
bayesian estimation,exponential spectral representation,1
bayesian estimation,lattice data,1
bayesian estimation,spatial statistics,1
bayesian estimation,spectral density,1
cepstrum,exponential spectral representation,1
cepstrum,lattice data,1
cepstrum,spatial statistics,1
cepstrum,spectral density,1
exponential spectral representation,lattice data,1
exponential spectral representation,spatial statistics,1
exponential spectral representation,spectral density,1
lattice data,spatial statistics,2
lattice data,spectral density,1
spatial statistics,spectral density,2
fourier transform,v-statistics,1
nondegeneracy,v-statistics,1
degeneracy,v-statistics,1
locally stationary,v-statistics,1
time series,v-statistics,1
nonparametric inference,v-statistics,1
spectral analysis,v-statistics,1
fourier transform,nondegeneracy,1
degeneracy,fourier transform,1
fourier transform,locally stationary,1
fourier transform,time series,2
fourier transform,nonparametric inference,1
fourier transform,spectral analysis,2
degeneracy,nondegeneracy,1
locally stationary,nondegeneracy,1
nondegeneracy,time series,1
nondegeneracy,nonparametric inference,1
nondegeneracy,spectral analysis,1
degeneracy,locally stationary,1
degeneracy,time series,1
degeneracy,nonparametric inference,1
degeneracy,spectral analysis,1
locally stationary,time series,5
locally stationary,nonparametric inference,1
locally stationary,spectral analysis,1
nonparametric inference,time series,1
spectral analysis,time series,3
nonparametric inference,spectral analysis,1
filtering,sequential monte carlo,2
factor error structure,factors,1
factor error structure,factor loadings,1
factor error structure,maximum likelihood,1
factor error structure,principal components,1
factor error structure,within-group estimator,1
factor error structure,simultaneous equations,1
factor loadings,factors,2
factors,maximum likelihood,1
factors,principal components,2
factors,within-group estimator,1
factors,simultaneous equations,1
factor loadings,maximum likelihood,1
factor loadings,principal components,2
factor loadings,within-group estimator,1
factor loadings,simultaneous equations,1
maximum likelihood,principal components,2
maximum likelihood,within-group estimator,1
maximum likelihood,simultaneous equations,1
principal components,within-group estimator,1
principal components,simultaneous equations,1
simultaneous equations,within-group estimator,1
quantum hypothesis testing,quantum stein's lemma,1
quantum hypothesis testing,second-order asymptotics,1
finite sample size,quantum hypothesis testing,1
quantum stein's lemma,second-order asymptotics,1
finite sample size,quantum stein's lemma,1
finite sample size,second-order asymptotics,1
hypothesis testing,m estimator,1
hypothesis testing,singular value decomposition,1
hypothesis testing,trimmed least squares,1
m estimator,singular value decomposition,1
m estimator,trimmed least squares,1
singular value decomposition,trimmed least squares,1
empirical risk minimization,learning theory,1
aggregation,learning theory,1
empirical processes theory,learning theory,1
aggregation,empirical risk minimization,1
empirical processes theory,empirical risk minimization,1
aggregation,empirical processes theory,1
large dimensionality,sphericity tests,2
asymptotic power,sphericity tests,2
sphericity tests,spiked covariance,2
contiguity,sphericity tests,2
power envelope,sphericity tests,2
asymptotic power,large dimensionality,2
large dimensionality,spiked covariance,2
contiguity,large dimensionality,2
large dimensionality,power envelope,2
asymptotic power,spiked covariance,2
asymptotic power,contiguity,2
asymptotic power,power envelope,2
contiguity,spiked covariance,3
power envelope,spiked covariance,3
contiguity,power envelope,3
glivenko-cantelli classes,poincare property,1
poincare property,set estimation,1
glivenko-cantelli classes,set estimation,1
nonparametric regression,trend filtering,1
smoothing splines,trend filtering,1
locally adaptive,trend filtering,1
regression splines,trend filtering,1
minimax convergence rate,trend filtering,1
lasso stability,trend filtering,1
nonparametric regression,smoothing splines,4
locally adaptive,nonparametric regression,1
nonparametric regression,regression splines,2
minimax convergence rate,nonparametric regression,1
lasso stability,nonparametric regression,1
locally adaptive,smoothing splines,1
regression splines,smoothing splines,2
minimax convergence rate,smoothing splines,1
lasso stability,smoothing splines,1
locally adaptive,regression splines,1
locally adaptive,minimax convergence rate,1
lasso stability,locally adaptive,1
minimax convergence rate,regression splines,1
lasso stability,regression splines,1
lasso stability,minimax convergence rate,1
adaptive weighted l-1,high dimensions,1
adaptive weighted l-1,oracle properties,1
adaptive weighted l-1,robust regularization,1
high dimensions,oracle properties,1
high dimensions,robust regularization,1
oracle properties,robust regularization,1
adaptive,anisotropic,1
adaptive,bayesian nonparametrics,1
adaptive,function estimation,1
adaptive,gaussian process,1
adaptive,rate of convergence,1
anisotropic,bayesian nonparametrics,1
anisotropic,function estimation,1
anisotropic,gaussian process,1
anisotropic,rate of convergence,1
bayesian nonparametrics,function estimation,1
bayesian nonparametrics,gaussian process,1
bayesian nonparametrics,rate of convergence,1
function estimation,gaussian process,1
function estimation,rate of convergence,2
gaussian process,rate of convergence,1
central subspace,conditional mean,1
central subspace,variance and quantile,1
central subspace,efficient information,1
central subspace,efficient score,1
central subspace,frechet derivative and its representation,1
central subspace,projection,1
central subspace,tangent space,1
conditional mean,variance and quantile,1
conditional mean,efficient information,1
conditional mean,efficient score,1
conditional mean,frechet derivative and its representation,1
conditional mean,projection,1
conditional mean,tangent space,1
efficient information,variance and quantile,1
efficient score,variance and quantile,1
frechet derivative and its representation,variance and quantile,1
projection,variance and quantile,1
tangent space,variance and quantile,1
efficient information,efficient score,1
efficient information,frechet derivative and its representation,1
efficient information,projection,1
efficient information,tangent space,1
efficient score,frechet derivative and its representation,1
efficient score,projection,1
efficient score,tangent space,2
frechet derivative and its representation,projection,1
frechet derivative and its representation,tangent space,1
projection,tangent space,1
centroid method,discrimination,2
centroid method,kernel smoothing,1
centroid method,quadratic discrimination,1
centroid method,smoothing parameter choice,1
centroid method,training data,1
discrimination,kernel smoothing,1
discrimination,quadratic discrimination,1
discrimination,smoothing parameter choice,1
discrimination,training data,1
kernel smoothing,quadratic discrimination,1
kernel smoothing,smoothing parameter choice,1
kernel smoothing,training data,1
quadratic discrimination,smoothing parameter choice,1
quadratic discrimination,training data,1
smoothing parameter choice,training data,1
foldover,gray map,1
foldover,highly fractionated design,1
foldover,minimum aberration,1
foldover,minimum moment aberration,1
foldover,projectivity,1
foldover,resolution,1
gray map,highly fractionated design,1
gray map,minimum aberration,1
gray map,minimum moment aberration,1
gray map,projectivity,2
gray map,resolution,1
highly fractionated design,minimum aberration,1
highly fractionated design,minimum moment aberration,1
highly fractionated design,projectivity,1
highly fractionated design,resolution,1
minimum aberration,minimum moment aberration,1
minimum aberration,projectivity,1
minimum aberration,resolution,4
minimum moment aberration,projectivity,1
minimum moment aberration,resolution,1
projectivity,resolution,1
dantzig selector,slepian,1
dantzig selector,stein method,1
dantzig selector,maximum of,1
dantzig selector,vector sums,1
dantzig selector,high dimensionality,1
anti-concentration,dantzig selector,1
slepian,stein method,1
maximum of,slepian,1
slepian,vector sums,1
high dimensionality,slepian,1
anti-concentration,slepian,1
maximum of,stein method,1
stein method,vector sums,1
high dimensionality,stein method,1
anti-concentration,stein method,1
maximum of,vector sums,1
high dimensionality,maximum of,1
anti-concentration,maximum of,1
high dimensionality,vector sums,1
anti-concentration,vector sums,1
anti-concentration,high dimensionality,1
large deviation,large p,1
large deviation,small n,1
large deviation,optimal detection boundary,1
large deviation,sparse signal,1
large deviation,thresholding,2
large deviation,weak dependence,1
large p,small n,18
large p,optimal detection boundary,1
large p,sparse signal,1
large p,thresholding,2
large p,weak dependence,1
optimal detection boundary,small n,1
small n,sparse signal,1
small n,thresholding,2
small n,weak dependence,1
optimal detection boundary,sparse signal,1
optimal detection boundary,thresholding,1
optimal detection boundary,weak dependence,1
sparse signal,thresholding,1
sparse signal,weak dependence,1
thresholding,weak dependence,1
composite testing problem,high-dimensional inference,1
composite testing problem,detection boundary,1
composite testing problem,quadratic risk estimation,1
detection boundary,high-dimensional inference,1
high-dimensional inference,quadratic risk estimation,1
detection boundary,quadratic risk estimation,1
importance sampling,particle filter,3
and resampling,particle filter,1
particle filter,standard error,1
and resampling,importance sampling,1
importance sampling,standard error,1
and resampling,standard error,1
principal components analysis,subspace estimation,2
principal components analysis,sparsity,2
high-dimensional statistics,principal components analysis,1
minimax bounds,principal components analysis,1
principal components analysis,random matrices,1
sparsity,subspace estimation,2
high-dimensional statistics,subspace estimation,1
minimax bounds,subspace estimation,1
random matrices,subspace estimation,1
high-dimensional statistics,sparsity,6
minimax bounds,sparsity,1
random matrices,sparsity,3
high-dimensional statistics,minimax bounds,1
high-dimensional statistics,random matrices,3
minimax bounds,random matrices,1
false discovery rate,gaussian graphical model,4
false discovery rate,multiple tests,1
gaussian graphical model,multiple tests,1
high-dimensional inference,sparsity,4
covariance matrix,high-dimensional inference,1
high-dimensional inference,precision matrix,1
high-dimensional inference,thresholding,2
high-dimensional inference,lasso,1
dependence,high-dimensional inference,1
functional dependence measure,high-dimensional inference,1
consistency,high-dimensional inference,1
high-dimensional inference,nagaev inequality,1
high-dimensional inference,nonstationary time series,1
high-dimensional inference,spatial temporal processes,1
precision matrix,sparsity,4
sparsity,thresholding,15
dependence,sparsity,1
functional dependence measure,sparsity,1
consistency,sparsity,3
nagaev inequality,sparsity,1
nonstationary time series,sparsity,1
sparsity,spatial temporal processes,1
covariance matrix,precision matrix,6
covariance matrix,thresholding,2
covariance matrix,lasso,2
covariance matrix,dependence,1
covariance matrix,functional dependence measure,1
consistency,covariance matrix,2
covariance matrix,nagaev inequality,1
covariance matrix,nonstationary time series,1
covariance matrix,spatial temporal processes,1
precision matrix,thresholding,1
lasso,precision matrix,1
dependence,precision matrix,1
functional dependence measure,precision matrix,1
consistency,precision matrix,1
nagaev inequality,precision matrix,1
nonstationary time series,precision matrix,1
precision matrix,spatial temporal processes,1
lasso,thresholding,1
dependence,thresholding,1
functional dependence measure,thresholding,1
consistency,thresholding,2
nagaev inequality,thresholding,1
nonstationary time series,thresholding,1
spatial temporal processes,thresholding,1
dependence,lasso,1
functional dependence measure,lasso,1
consistency,lasso,3
lasso,nagaev inequality,1
lasso,nonstationary time series,1
lasso,spatial temporal processes,1
dependence,functional dependence measure,1
consistency,dependence,1
dependence,nagaev inequality,1
dependence,nonstationary time series,1
dependence,spatial temporal processes,1
consistency,functional dependence measure,1
functional dependence measure,nagaev inequality,1
functional dependence measure,nonstationary time series,1
functional dependence measure,spatial temporal processes,1
consistency,nagaev inequality,1
consistency,nonstationary time series,1
consistency,spatial temporal processes,1
nagaev inequality,nonstationary time series,1
nagaev inequality,spatial temporal processes,1
nonstationary time series,spatial temporal processes,1
graphical models,markov random fields,2
graphical models,model selection,3
graphical models,inverse covariance estimation,1
graphical models,high-dimensional statistics,1
exponential families,graphical models,1
graphical models,legendre duality,1
markov random fields,model selection,2
inverse covariance estimation,markov random fields,1
high-dimensional statistics,markov random fields,1
exponential families,markov random fields,1
legendre duality,markov random fields,1
inverse covariance estimation,model selection,1
high-dimensional statistics,model selection,1
exponential families,model selection,1
legendre duality,model selection,1
high-dimensional statistics,inverse covariance estimation,1
exponential families,inverse covariance estimation,1
inverse covariance estimation,legendre duality,1
exponential families,high-dimensional statistics,1
high-dimensional statistics,legendre duality,1
exponential families,legendre duality,1
brownian motion,confidence regions,1
brownian motion,stationarity,2
brownian motion,weak dependence,1
confidence regions,stationarity,1
confidence regions,weak dependence,1
stationarity,weak dependence,2
adaptive estimation,aggregation,2
adaptive estimation,covariance matrix,2
adaptive estimation,eigenvector,1
adaptive estimation,group sparsity,1
adaptive estimation,low-rank matrix,1
adaptive estimation,minimax lower bound,1
adaptive estimation,optimal rate,3
adaptive estimation,of convergence,3
adaptive estimation,principal component analysis,1
adaptive estimation,thresholding,4
aggregation,covariance matrix,1
aggregation,eigenvector,1
aggregation,group sparsity,1
aggregation,low-rank matrix,1
aggregation,minimax lower bound,1
aggregation,optimal rate,1
aggregation,of convergence,3
aggregation,principal component analysis,1
aggregation,thresholding,1
covariance matrix,eigenvector,1
covariance matrix,group sparsity,1
covariance matrix,low-rank matrix,1
covariance matrix,minimax lower bound,4
covariance matrix,optimal rate,5
covariance matrix,of convergence,5
covariance matrix,principal component analysis,1
eigenvector,group sparsity,1
eigenvector,low-rank matrix,1
eigenvector,minimax lower bound,1
eigenvector,optimal rate,1
eigenvector,of convergence,1
eigenvector,principal component analysis,3
eigenvector,thresholding,1
group sparsity,low-rank matrix,1
group sparsity,minimax lower bound,1
group sparsity,optimal rate,1
group sparsity,of convergence,1
group sparsity,principal component analysis,1
group sparsity,thresholding,1
low-rank matrix,minimax lower bound,1
low-rank matrix,optimal rate,1
low-rank matrix,of convergence,1
low-rank matrix,principal component analysis,1
low-rank matrix,thresholding,1
minimax lower bound,optimal rate,6
minimax lower bound,of convergence,6
minimax lower bound,principal component analysis,1
minimax lower bound,thresholding,2
of convergence,optimal rate,12
optimal rate,principal component analysis,1
optimal rate,thresholding,2
of convergence,principal component analysis,1
of convergence,thresholding,2
principal component analysis,thresholding,2
hilbert spaces,reproducing kernel,4
distance covariance,reproducing kernel,1
reproducing kernel,two-sample testing,1
independence testing,reproducing kernel,1
distance covariance,hilbert spaces,1
hilbert spaces,two-sample testing,1
hilbert spaces,independence testing,1
distance covariance,two-sample testing,1
distance covariance,independence testing,1
independence testing,two-sample testing,1
consistency,ranking,1
fisher consistency,ranking,1
asymptotics,ranking,1
rank aggregation,ranking,1
ranking,u-statistics,1
consistency,fisher consistency,1
asymptotics,consistency,5
consistency,rank aggregation,1
consistency,u-statistics,1
asymptotics,fisher consistency,1
fisher consistency,rank aggregation,1
fisher consistency,u-statistics,1
asymptotics,rank aggregation,1
asymptotics,u-statistics,1
rank aggregation,u-statistics,1
asymptotic normality,inverse problem,1
asymptotic normality,nonparametric instrumental,1
asymptotic normality,variables model,1
asymptotic normality,quasi-bayes,1
asymptotic normality,rates of contraction,1
inverse problem,nonparametric instrumental,1
inverse problem,variables model,1
inverse problem,quasi-bayes,1
inverse problem,rates of contraction,1
nonparametric instrumental,variables model,1
nonparametric instrumental,quasi-bayes,1
nonparametric instrumental,rates of contraction,1
quasi-bayes,variables model,1
rates of contraction,variables model,1
quasi-bayes,rates of contraction,1
central limit theorem,high frequency data,2
central limit theorem,homoscedasticity testing,1
central limit theorem,ito semimartingales,1
central limit theorem,rank estimation,1
central limit theorem,stable convergence,2
high frequency data,homoscedasticity testing,1
high frequency data,ito semimartingales,1
high frequency data,rank estimation,1
high frequency data,stable convergence,1
homoscedasticity testing,ito semimartingales,1
homoscedasticity testing,rank estimation,1
homoscedasticity testing,stable convergence,1
ito semimartingales,rank estimation,1
ito semimartingales,stable convergence,1
rank estimation,stable convergence,1
erdos-renyi,random graph,1
graph limit,random graph,1
exponential random,random graph,1
graph models,random graph,1
parameter estimation,random graph,1
erdos-renyi,graph limit,1
erdos-renyi,exponential random,1
erdos-renyi,graph models,1
erdos-renyi,parameter estimation,1
exponential random,graph limit,1
graph limit,graph models,1
graph limit,parameter estimation,1
exponential random,graph models,1
exponential random,parameter estimation,1
graph models,parameter estimation,1
compressed sensing,deficiency distance,1
compressed sensing,density matrix,2
compressed sensing,observable,1
compressed sensing,pauli matrices,2
compressed sensing,quantum measurement,2
compressed sensing,quantum probability,2
compressed sensing,quantum statistics,2
compressed sensing,trace regression,2
compressed sensing,fine scale,1
compressed sensing,low rank matrix,1
compressed sensing,sparse matrix,1
deficiency distance,density matrix,1
deficiency distance,observable,1
deficiency distance,pauli matrices,1
deficiency distance,quantum measurement,1
deficiency distance,quantum probability,1
deficiency distance,quantum statistics,1
deficiency distance,trace regression,2
deficiency distance,fine scale,1
deficiency distance,low rank matrix,1
deficiency distance,sparse matrix,1
density matrix,observable,1
density matrix,pauli matrices,2
density matrix,quantum measurement,2
density matrix,quantum probability,2
density matrix,quantum statistics,2
density matrix,trace regression,2
density matrix,fine scale,1
density matrix,low rank matrix,1
density matrix,sparse matrix,1
observable,pauli matrices,1
observable,quantum measurement,1
observable,quantum probability,1
observable,quantum statistics,1
